,Book Title,Author
1,In Search of Lost Time ,Marcel Proust
2,Ulysses,James Joyce
3,Don Quixote,Miguel de Cervantes
4,One Hundred Years of Solitude ,Gabriel Garcia Marquez
5,The Great Gatsby ,F. Scott Fitzgerald
6,Moby Dick,Herman Melville
7,War and Peace,Leo Tolstoy
8,Hamlet,William Shakespeare
9,The Odyssey,Homer
10,Madame Bovary,Gustave Flaubert
11,The Divine Comedy ,Dante Alighieri
12,Lolita ,Vladimir Nabokov
13,The Brothers Karamazov ,Fyodor Dostoyevsky
14,Crime and Punishment ,Fyodor Dostoyevsky
15,Wuthering Heights,Emily Brontë
16,The Catcher in the Rye,J. D. Salinger
17,Pride and Prejudice,Jane Austen
18,The Adventures of Huckleberry Finn,Mark Twain
19,Anna Karenina,Leo Tolstoy
20,Alice's Adventures in Wonderland ,Lewis Carroll
21,The Iliad,Homer
22,To the Lighthouse ,Virginia Woolf
23,Catch-22 ,Joseph Heller
24,Heart of Darkness,Joseph Conrad
25,The Sound and the Fury,William Faulkner
26,Nineteen Eighty Four,George Orwell
27,Great Expectations,Charles Dickens
28,One Thousand and One Nights,India/Iran/Iraq/Egypt
29,The Grapes of Wrath ,John Steinbeck
30,"Absalom, Absalom!",William Faulkner
31,Invisible Man ,Ralph Ellison
32,To Kill a Mockingbird ,Harper Lee
33,The Trial,Franz Kafka
34,The Red and the Black,Stendhal
35,Middlemarch,George Eliot
36,Gulliver's Travels,Jonathan Swift
37,Beloved,Toni Morrison
38,Mrs. Dalloway ,Virginia Woolf
39,The Stories of Anton Chekhov,Anton Chekhov
40,The Stranger ,Albert Camus
41,Jane Eyre,Charlotte Bronte
42,The Aeneid,Virgil
43,Collected Fiction,Jorge Luis Borges
44,The Sun Also Rises ,Ernest Hemingway
45,David Copperfield,Charles Dickens
46,Tristram Shandy,Laurence Sterne
47,Leaves of Grass,Walt Whitman
48,The Magic Mountain,Thomas Mann
49,A Portrait of the Artist as a Young Man ,James Joyce
50,Midnight's Children ,Salman Rushdie
51,"130 ""best of"" book lists",list details page
52,Oedipus the King,Sophocles
53,Candide,Voltaire
54,The Lord of the Rings,J. R. R. Tolkien
55,The Idiot,Fyodor Dostoyevsky
56,Les Misérables,Victor Hugo
57,A Passage to India ,E. M. Forster
58,The Old Man and the Sea,Ernest Hemingway
59,Things Fall Apart ,Chinua Achebe
60,Emma,Jane Austen
61,For Whom the Bell Tolls,Ernest Hemingway
62,The Complete Stories of Franz Kafka,Franz Kafka
63,The Metamorphosis,Franz Kafka
64,The Portrait of a Lady ,Henry James
65,Frankenstein ,Mary Shelley
66,Pale Fire ,Vladimir Nabokov
67,Antigone,Sophocles
68,As I Lay Dying,William Faulkner
69,The Color Purple,Alice Walker
70,The Possessed,Fyodor Dostoyevsky
71,Gone With the Wind ,Margaret Mitchell
72,Lord of the Flies ,William Golding
73,Brave New World,Aldous Huxley
74,The Complete Tales and Poems of Edgar Allan Poe,Edgar Allan Poe
75,The Age of Innocence,Edith Wharton
76,Dead Souls,Nikolai Gogol
77,On the Road,Jack Kerouac
78,The Good Soldier,Ford Madox Ford
79,Animal Farm,George Orwell
80,Orlando: A Biography,Virginia Woolf
81,The Canterbury Tales,Geoffrey Chaucer
82,Vanity Fair,William Makepeace Thackeray
83,Under the Volcano ,Malcolm Lowry
84,The Waste Land,T. S. Eliot
85,A Farewell to Arms,Ernest Hemingway
86,Journey to the End of The Night,Louis-Ferdinand Céline
87,The Castle,Franz Kafka
88,A Sentimental Education,Gustave Flaubert
89,The Scarlet Letter,Nathaniel Hawthorne
90,Slaughterhouse-Five ,Kurt Vonnegut
91,The Handmaid's Tale,Margaret Atwood
92,Charlotte's Web,E. B. White
93,Native Son ,Richard Wright
94,The Charterhouse of Parma,Stendhal
95,Paradise Lost,John Milton
96,Gargantua and Pantagruel,Francois Rabelais
97,Poems of Emily Dickinson,Emily Dickinson
98,Faust,Johann Wolfgang von Goethe
99,Rebecca,Daphne du Maurier
100,The Flowers of Evil,Charles Baudelaire
101,Decameron,Giovanni Boccaccio
102,"130 ""best of"" book lists",list details page
103,Tess of the d'Urbervilles,Thomas Hardy
104,Waiting for Godot,Samuel Beckett
105,Robinson Crusoe,Daniel Defoe
106,Their Eyes Were Watching God ,Zora Neale Hurston
107,Tom Jones,Henry Fielding
108,King Lear,William Shakespeare
109,A Clockwork Orange,Anthony Burgess
110,The Master and Margarita,Mikhail Bulgakov
111,Father Goriot,Honoré de Balzac
112,The Tin Drum,Günter Grass
113,Sons and Lovers,D. H. Lawrence
114,The Little Prince,Antoine de Saint-Exupéry
115,Fathers and Sons,Ivan Turgenev
116,Oresteia,Aeschylus
117,Wide Sargasso Sea,Jean Rhys
118,Bleak House,Charles Dickens
119,A Season in Hell,Arthur Rimbaud
120,Howards End,E. M. Forster
121,Little Women,Louisa May Alcott
122,Fairy Tales and Stories,Hans Christian Anderson
123,The Complete Stories of Flannery O'Connor,Flannery O'Connor
124,"Rabbit, Run ",John Updike
125,Lord Jim,Joseph Conrad
126,A Confederacy of Dunces,John Kennedy Toole
127,Atonement,Ian McEwan
128,Cousin Bette,Honoré de Balzac
129,White Teeth ,Zadie Smith
130,The Tale of Genji,Murasaki Shikibu
131,The Golden Notebook,Doris Lessing
132,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson
133,Treasure Island,Robert Louis Stevenson
134,All the King's Men,Robert Penn Warren
135,The Man Without Qualities,Robert Musil
136,Doctor Faustus,Thomas Mann
137,The Count of Monte Cristo,Alexandre Dumas
138,Epic of Gilgamesh,Unknown
139,Stories of Ernest Hemingway,Ernest Hemingway
140,Nostromo,Joseph Conrad
141,The Big Sleep,Raymond Chandler
142,The Tempest,William Shakespeare
143,Dangerous Liaison,Pierre Choderlos de Laclos
144,All Quiet on the Western Front,Erich Maria Remarque
145,Love in the Time of Cholera,Gabriel Garcia Marquez
146,Buddenbrooks,Thomas Mann
147,My Antonia,Willa Cather
148,Blood Meridian,Cormac McCarthy
149,The Corrections,Jonathan Franzen
150,The Call of the Wild,Jack London
151,Tender Is the Night,F. Scott Fitzgerald
152,The Wind in the Willows,Kenneth Grahame
153,"130 ""best of"" book lists",list details page
154,A Prayer for Owen Meany ,John Irving
155,One Flew Over the Cuckoo's Nest ,Ken Kesey
156,Rabbit Is Rich,John Updike
157,Metamorphoses,Ovid
158,Collected Poems of W. B. Yeats,W. B. Yeats
159,The Brief Wondrous Life of Oscar Wao,Junot Diaz
160,"The Lion, The Witch and the Wardrobe ",C. S. Lewis
161,Oedipus at Colonus,Sophocles
162,The Moviegoer,Walker Percy
163,Medea,Euripides
164,Macbeth,William Shakespeare
165,Lost Illusions,Honoré de Balzac
166,Pedro Paramo,Juan Rulfo
167,The Prime of Miss Jean Brodie ,Muriel Spark
168,A Tree Grows in Brooklyn,Betty Smith
169,Doctor Zhivago,Boris Pasternak
170,The Ambassadors,Henry James
171,The Remains of the Day,Kazuo Ishiguro
172,Austerlitz ,W. G. Sebald
173,Confessions of Zeno,Italo Svevo
174,Dracula,Bram Stoker
175,Women in Love,D. H. Lawrence
176,Of Mice and Men,John Steinbeck
177,The Complete Sherlock Holmes,Arthur Conan Doyle
178,The Waves,Virginia Woolf
179,Rabbit Redux,John Updike
180,The Hound of the Baskervilles,Arthur Conan Doyle
181,The Leopard,Giuseppe Tomasi di Lampedusa
182,2666,Roberto Bolaño
183,Eugenie Grandet,Honoré de Balzac
184,A Room With a View,E. M. Forster
185,"The Sea, The Sea",Iris Murdoch
186,Bonfire of the Vanities,Tom Wolfe
187,The House of the Spirits,Isabel Allende
188,Twenty Thousand Leagues Under the Sea,Jules Verne
189,The Princess of Cleves,Madame de La Fayette
190,The Wind-Up Bird Chronicle,Haruki Murakami
191,The Plague,Albert Camus
192,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson
193,The Pickwick Papers,Charles Dickens
194,The Stories of John Cheever,John Cheever
195,Fahrenheit 451,Ray Bradbury
196,The Hobbit,J. R. R. Tolkien
197,Jude the Obscure,Thomas Hardy
198,Nineteen Nineteen,John Dos Passos
199,The 42nd Parallel,John Dos Passos
200,The Big Money,John Dos Passos
201,Independent People,Halldor Laxness
202,The House of Mirth,Edith Wharton
203,The World According to Garp,John Irving
204,"130 ""best of"" book lists",list details page
205,The Republic,Plato
206,The Stand,Stephen King
207,Clarissa,Samuel Richardson
208,The Good Soldier Svejk,Jaroslav Hašek
209,Electra,Sophocles
210,The Picture of Dorian Gray,Oscar Wilde
211,The Hitchhiker's Guide to the Galaxy,Douglas Adams
212,Collected Poems,Wallace Stevens
213,Harry Potter And The Philosopher's Stone,J. K Rowling
214,American Pastoral,Philip Roth
215,La Regenta,Clarín
216,Atlas Shrugged,Ayn Rand
217,Stranger in a Strange Land,Robert A. Heinlein
218,Winnie the Pooh,A. A Milne
219,Kim,Rudyard Kipling
220,A Doll's House,Henrik Ibsen
221,Rabbit at Rest,John Updike
222,Hunger,Knut Hamsun
223,Memoirs of Hadrian,Marguerite Yourcenar
224,Dune,Frank Herbert
225,Berlin Alexanderplatz,Alfred Döblin
226,The Three Musketeers,Alexandre Dumas
227,The Book of Disquiet,Fernando Pessoa
228,The Road,Cormac McCarthy
229,If on a Winter's Night a Traveller ,Italo Calvino
230,The Long Goodbye: A Novel,Raymond Chandler
231,De Rerum Natura,Lucretius
232,An American Tragedy,Theodore Dreiser
233,The Amazing Adventures of Kavalier and Clay,Michael Chabon
234,Lucky Jim ,Kingsley Amis
235,A Tale of Two Cities,Charles Dickens
236,Light in August ,William Faulkner
237,A Dance to the Music of Time,Anthony Powell
238,The Jungle,Upton Sinclair
239,Herzog ,Saul Bellow
240,The Poems of Robert Frost,Robert Frost
241,The Time Machine,H. G. Wells
242,Parade's End,Ford Madox Ford
243,Song of Solomon,Toni Morrison
244,Portnoy's Complaint ,Philip Roth
245,A House for Mr. Biswas ,V. S. Naipaul
246,Gravity's Rainbow ,Thomas Pynchon
247,Dubliners,James Joyce
248,Brighton Rock,Graham Greene
249,Middlesex,Jeffrey Eugenides
250,Steppenwolf,Hermann Hesse
251,Disgrace,J M Coetzee
252,Nine Stories,J. D. Salinger
253,Through the Looking Glass,Lewis Carroll
254,The End of the Affair,Graham Greene
255,"130 ""best of"" book lists",list details page
256,Thus Spake Zarathustra,Friedrich Nietzsche
257,The Mill on the Floss,George Eliot
258,Ethan Frome,Edith Wharton
259,The Shipping News,E. Annie Proulx
260,Prometheus Bound,Aeschylus
261,The Unbearable Lightness of Being,Milan Kundera
262,Never Let Me Go ,Kazuo Ishiguro
263,2001: A Space Odyssey,Arthur C. Clarke
264,Henderson The Rain King,Saul Bellow
265,Persuasion,Jane Austen
266,The Bell Jar,Sylvia Plath
267,The Heart Is A Lonely Hunter,Carson McCullers
268,White Noise ,Don DeLillo
269,Molloy,Samuel Beckett
270,The Fountainhead,Ayn Rand
271,Siddhartha,Hermann Hesse
272,Season of Migration to the North,Al-Tayyib Salih
273,The Sense of an Ending,Julian Barnes
274,The Line of Beauty,Alan Hollinghurst
275,"I, Claudius ",Robert Graves
276,The Suppliants,Aeschylus
277,The Persians,Aeschylus
278,Seven Against Thebes,Aeschylus
279,Brideshead Revisited,Evelyn Waugh
280,Of Human Bondage ,W. Somerset Maugham
281,Malone Dies,Samuel Beckett
282,The Adventures of Augie March,Saul Bellow
283,Cloud Atlas,David Mitchell
284,The Man Who Loved Children ,Christina Stead
285,"Cry, the Beloved Country",Alan Paton
286,Pippi Longstocking,Astrid Lindgren
287,Wolf Hall,Hilary Mantel
288,Selected Stories of Alice Munro,Alice Munro
289,The Maltese Falcon,Dashiell Hammett
290,Complete Poems of Giacomo Leopardi,Giacomo Leopardi
291,Moll Flanders,Daniel Defoe
292,Philoctetes,Sophocles
293,Ajax,Sophocles
294,Women of Trachis,Sophocles
295,The Killer Angels,Michael Shaara
296,Possession ,A. S. Byatt
297,The Red Badge of Courage,Stephen Crane
298,The Poisonwood Bible,Barbara Kingsolver
299,Tarzan of the Apes,Edgar Rice Burroughs
300,Death of Virgil,Hermann Broch
301,The Counterfeiters,André Gide
302,Lady Chatterley's Lover,D. H. Lawrence
303,Gilead,Marilynne Robinson
304,Jacques the Fatalist and His Master,Denis Diderot
305,Zorba the Greek,Nikos Kazantzakis
306,"130 ""best of"" book lists",list details page
307,The Confusions of Young Törless,Robert Musil
